Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Prospect,RSC007431,xPotatodactylx,Hawaiian Pizza,N/A,56.5,64.4,60.5,35,23,12,0.657,7,11287,26,25,40,84,30.95%,322.49,0.74,0.71,1.14,2.40,7,1,2,4,36,38
Prospect,RSC007866,Swzyy GN,Prism Proteges,N/A,47.6,70.3,58.9,12,5,7,0.417,3,4179,10,8,14,35,28.57%,348.25,0.83,0.67,1.17,2.92,3,1,0,0,9,13
Prospect,RSC006758,El Booger Sugar,Principales,N/A,56.5,60.0,58.3,16,9,7,0.563,1,5145,11,12,15,42,26.19%,321.56,0.69,0.75,0.94,2.63,2,0,0,1,12,12
Prospect,RSC007423,Valuedsquash465,Tic Tacs,N/A,55.7,54.8,55.3,22,11,11,0.500,5,7655,15,17,33,51,29.41%,347.95,0.68,0.77,1.50,2.32,5,1,2,4,18,14
Prospect,RSC007487,YoloOnTinder,Dime,N/A,51.1,59.3,55.2,26,17,9,0.654,1,7294,12,22,22,62,19.35%,280.54,0.46,0.85,0.85,2.38,4,0,2,2,30,27
Prospect,RSC006586,dino_chick3n,Prism Proteges,N/A,54.8,55.2,55.0,14,4,10,0.286,3,4788,10,8,16,35,28.57%,342.00,0.71,0.57,1.14,2.50,1,1,0,2,7,10
Prospect,RSC002596,Jeff Wadowski,Tic Tacs,N/A,56.6,52.4,54.5,40,21,19,0.525,8,14994,27,27,67,89,30.34%,374.85,0.68,0.68,1.68,2.23,11,0,2,10,40,44
Prospect,RSC006667,GET2DACHOPPA5,Honey Badgers,N/A,51.0,57.2,54.1,19,9,10,0.474,1,6016,11,17,20,37,29.73%,316.63,0.58,0.89,1.05,1.95,3,1,0,2,20,19
Prospect,RSC005884,Zachthebull36,Earth,N/A,50.3,57.5,53.9,26,16,10,0.615,1,8277,21,14,21,75,28.00%,318.35,0.81,0.54,0.81,2.88,3,1,0,3,20,38
Prospect,RSC007897,Synnicall,Poppy,N/A,48.6,57.3,53.0,40,18,22,0.450,7,14210,29,24,58,108,26.85%,355.25,0.73,0.60,1.45,2.70,9,2,0,10,43,45
Prospect,RSC007138,GFC-RAIDER,Mop Tops,N/A,48.4,56.7,52.5,25,16,9,0.640,4,8643,20,12,36,61,32.79%,345.72,0.80,0.48,1.44,2.44,3,2,0,3,22,23
Prospect,RSC005018,Smitty,Hawaiian Pizza,N/A,51.3,53.3,52.3,14,8,6,0.571,0,3937,8,9,13,28,28.57%,281.21,0.57,0.64,0.93,2.00,0,0,0,1,23,17
Prospect,RSC007600,CN Tyson,"Mop Tops
Prism Proteges",N/A,49.1,54.5,51.8,34,14,20,0.412,5,11157,27,12,43,101,26.73%,328.15,0.79,0.35,1.26,2.97,5,1,0,3,26,34
Prospect,RSC003335,xEaglex20x,Earth,N/A,47.7,55.1,51.4,37,20,17,0.541,7,12153,28,25,48,88,31.82%,328.46,0.76,0.68,1.30,2.38,6,3,0,5,45,42
