Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Veteran,RSC002668,Azorh <3,Peppermint,Solar,35.6,32.4,34.0,26,10,16,0.385,2,8797,12,16,43,61,19.67%,338.35,0.46,0.62,1.65,2.35,5,0,0,9,13,31
Veteran,RSC007610,Halibut907,Dump Trucks,Lunar,38.5,28.6,33.6,32,11,21,0.344,2,11384,19,10,59,59,32.20%,355.75,0.59,0.31,1.84,1.84,2,1,0,10,21,39
Veteran,RSC004332,FriendBrady,Makos,Solar,17.9,48.7,33.3,5,3,2,0.600,0,1343,3,4,4,13,23.08%,268.60,0.60,0.80,0.80,2.60,1,1,0,0,2,2
Veteran,RSC000796,hoyci,Dread,Lunar,32.0,32.3,32.2,18,7,11,0.389,3,5182,12,7,20,37,32.43%,287.89,0.67,0.39,1.11,2.06,1,0,0,1,12,11
Veteran,RSC007795,Gizmeaux,Gouda Gangsters,Lunar,29.8,33.7,31.7,14,6,8,0.429,1,4512,11,7,17,29,37.93%,322.29,0.79,0.50,1.21,2.07,2,1,1,3,20,9
Veteran,RSC001007,Tdeez,Supernova,Solar,26.3,35.5,30.9,26,8,18,0.308,1,8528,21,11,40,56,37.50%,328.00,0.81,0.42,1.54,2.15,4,0,0,4,27,21
Veteran,RSC004239,Nitro,Slots,Lunar,29.9,31.3,30.6,24,11,13,0.458,1,8434,14,8,49,68,20.59%,351.42,0.58,0.33,2.04,2.83,1,1,0,9,17,24
Veteran,RSC003887,Cundy,Possessed,Solar,32.6,27.9,30.3,25,7,18,0.280,2,6786,10,16,18,56,17.86%,271.44,0.40,0.64,0.72,2.24,0,0,1,2,15,32
Veteran,RSC007825,Acryonix,Slots,Lunar,17.4,39.4,28.4,7,4,3,0.571,1,2506,7,1,11,14,50.00%,358.00,1.00,0.14,1.57,2.00,1,1,0,1,5,9
Veteran,RSC003416,DrSkimMilk,Merciless Mob,Lunar,27.1,28.0,27.5,25,12,13,0.480,2,7051,17,5,28,58,29.31%,282.04,0.68,0.20,1.12,2.32,3,0,0,3,12,35
Veteran,RSC005960,Hyper,Possessed,Solar,29.8,21.0,25.4,8,2,6,0.250,1,2473,2,6,14,14,14.29%,309.13,0.25,0.75,1.75,1.75,1,0,1,2,6,7
Veteran,RSC007443,Allusion.-.,"Possessed
Kirin
Giraffes",Solar,33.3,16.5,24.9,14,4,10,0.286,2,4033,8,4,19,24,33.33%,288.07,0.57,0.29,1.36,1.71,2,1,0,2,8,15
Veteran,RSC007187,Ay.Josh,Mellow Fellows,Lunar,26.5,21.7,24.1,32,12,19,0.387,2,9523,17,8,47,61,27.87%,307.19,0.55,0.26,1.52,1.97,4,0,0,5,56,32
Veteran,RSC003250,Chefty,Werewolves,Solar,24.3,23.8,24.0,31,12,19,0.387,1,9758,14,15,46,68,20.59%,314.77,0.45,0.48,1.48,2.19,5,0,1,6,20,40
Veteran,RSC007991,Falcon Dгéw,Dump Trucks,Lunar,23.6,22.9,23.2,10,2,8,0.200,1,2973,6,3,14,22,27.27%,297.30,0.60,0.30,1.40,2.20,1,1,0,1,7,8
Veteran,RSC000625,Sly,Rulers,Lunar,14.4,30.3,22.3,17,9,8,0.529,0,4562,6,10,17,31,19.35%,268.35,0.35,0.59,1.00,1.82,2,0,1,1,10,17
Veteran,RSC007327,JustAChillGuyONG,Slots,Lunar,14.4,28.1,21.3,10,4,6,0.400,1,3074,7,3,14,25,28.00%,307.40,0.70,0.30,1.40,2.50,0,0,0,2,5,9
Veteran,RSC003104,nizz,Folks,Lunar,24.4,17.9,21.2,17,7,10,0.412,0,4358,7,6,21,38,18.42%,256.35,0.41,0.35,1.24,2.24,3,0,0,0,5,30
Veteran,RSC008028,krozex.,Gouda Gangsters,Lunar,19.9,18.9,19.4,4,2,2,0.500,1,1099,1,2,4,7,14.29%,274.75,0.25,0.50,1.00,1.75,1,0,0,1,4,9
Veteran,RSC007720,trock,Dread,Lunar,17.1,20.6,18.8,4,2,2,0.500,0,1022,1,2,6,6,16.67%,255.50,0.25,0.50,1.50,1.50,0,0,0,1,4,3
Veteran,RSC001893,cjax,Peppermint,Solar,18.3,18.0,18.2,25,9,16,0.360,3,7515,12,10,41,40,30.00%,300.60,0.48,0.40,1.64,1.60,3,0,1,4,17,36
Veteran,RSC000290,JimJam,Cannoli,Lunar,14.9,18.9,16.9,3,0,3,0.000,0,876,2,0,4,7,28.57%,292.00,0.67,,1.33,2.33,0,0,0,0,4,8
Veteran,RSC000367,Pana,Supernova,Solar,20.9,12.1,16.5,20,5,15,0.250,0,5801,7,7,33,45,15.56%,290.05,0.35,0.35,1.65,2.25,1,0,0,5,18,17
Veteran,RSC006319,red crayon chewer 14,Mosaic Maestros,Solar,4.7,27.0,15.9,2,1,1,0.500,0,544,2,0,1,4,50.00%,272.00,1.00,,0.50,2.00,0,0,0,0,2,3
Veteran,RSC005267,jj.dunbar,Banshees,Lunar,14.7,13.5,14.1,15,5,10,0.333,2,3887,7,7,13,23,30.43%,259.13,0.47,0.47,0.87,1.53,1,0,0,1,27,8
Veteran,RSC007486,risfox,Giraffes,Lunar,29.1,-2.7,13.2,1,0,1,0.000,0,288,0,0,2,6,0.00%,288.00,,,2.00,6.00,0,0,0,0,4,0
Veteran,RSC006174,I like bananas,"Legati
Dump Trucks",Lunar,20.7,1.7,11.2,5,1,4,0.200,0,2028,1,1,18,8,12.50%,405.60,0.20,0.20,3.60,1.60,0,0,0,4,4,7
Veteran,RSC002730,AquaP,Merciless Mob,Lunar,7.5,11.4,9.4,8,2,6,0.250,0,2102,3,3,8,13,23.08%,262.75,0.38,0.38,1.00,1.63,0,0,0,0,5,7
Veteran,RSC007036,PoiisonDeath,Azalea,Lunar,6.6,2.5,4.6,4,1,3,0.250,1,1006,2,0,6,3,66.67%,251.50,0.50,,1.50,0.75,0,0,0,1,5,5
Veteran,RSC003027,Defiance,Silver Dollar,Solar,8.6,-3.1,2.7,3,0,3,0.000,0,847,0,1,5,4,0.00%,282.33,,0.33,1.67,1.33,0,0,0,1,7,11
Veteran,RSC004188,wntr,Azalea,Lunar,10.3,-5.6,2.4,7,2,5,0.286,0,1577,0,4,9,4,0.00%,225.29,,0.57,1.29,0.57,0,0,0,1,13,5
Veteran,RSC004198,Dr. Cereal,Giraffes,Lunar,2.6,-11.6,-4.5,6,1,5,0.167,0,1248,3,0,3,11,27.27%,208.00,0.50,,0.50,1.83,0,0,0,0,7,9
Veteran,RSC007062,Ice Phoenix,Dread,Lunar,-13.1,-14.9,-14.0,4,0,4,0.000,0,723,0,1,3,4,0.00%,180.75,,0.25,0.75,1.00,0,0,0,0,1,6
Veteran,RSC003694,TheCroctopusTV,Legati,Lunar,-21.7,-22.3,-22.0,4,1,3,0.250,0,910,1,0,5,2,50.00%,227.50,0.25,,1.25,0.50,0,0,0,1,10,2
Veteran,RSC007505,Detroeux_RL,Slots,Lunar,-34.6,-34.7,-34.7,4,0,4,0.000,0,756,1,1,3,3,33.33%,189.00,0.25,0.25,0.75,0.75,0,0,0,0,2,2
